wall_time,frame,strategy,confidence,near_face,final_detected
1781785681.836,3,final,0.0,0,0
1781785682.118,6,final,0.0,0,0
1781785682.36,9,final,0.0,0,0
1781785682.563,12,final,0.0,0,0
1781785682.804,15,final,0.0,0,0
1781785683.013,18,final,0.0,0,0
1781785683.221,21,final,0.0,0,0
1781785683.432,24,final,0.0,0,0
1781785683.644,27,final,0.0,0,0
1781785683.866,30,final,0.0,0,0
1781785684.091,33,final,0.0,0,0
1781785684.304,36,final,0.0,0,0
1781785684.518,39,final,0.0,0,0
1781785684.759,42,final,0.0,0,0
1781785684.973,45,final,0.0,0,0
1781785685.164,48,final,0.0,0,0
1781785685.347,51,final,0.0,0,0
1781785685.513,54,final,0.0,0,0
1781785685.703,57,final,0.0,0,0
1781785685.874,60,final,0.0,0,0
1781785686.04,63,final,0.0,0,0
1781785686.212,66,final,0.0,0,0
1781785686.388,69,final,0.0,0,0
1781785686.567,72,final,0.0,0,0
1781785686.734,75,final,0.0,0,0
1781785686.933,78,final,0.0,0,0
1781785687.156,81,final,0.0,0,0
1781785687.333,84,final,0.0,0,0
1781785687.5,87,final,0.0,0,0
1781785687.658,90,final,0.0,0,0
1781785687.834,93,final,0.0,0,0
1781785688.053,96,final,0.0,0,0
1781785688.252,99,final,0.0,0,0
1781785688.434,102,final,0.0,0,0
1781785688.62,105,final,0.0,0,0
1781785688.819,108,final,0.0,0,0
1781785689.011,111,final,0.0,0,0
1781785689.198,114,final,0.0,0,0
1781785689.375,117,final,0.0,0,0
1781785689.567,120,final,0.0,0,0
1781785689.802,123,final,0.0,0,0
1781785690.003,126,final,0.0,0,0
1781785690.203,129,final,0.0,0,0
1781785690.447,132,final,0.0,0,0
1781785690.667,135,final,0.0,0,0
1781785690.868,138,final,0.0,0,0
1781785691.084,141,final,0.0,0,0
1781785691.263,144,final,0.0,0,0
1781785691.456,147,final,0.0,0,0
1781785691.634,150,final,0.0,0,0
1781785691.818,153,final,0.0,0,0
1781785692.009,156,final,0.0,0,0
1781785692.235,159,final,0.0,0,0
1781785692.42,162,final,0.0,0,0
1781785692.591,165,final,0.0,0,0
1781785692.787,168,final,0.0,0,0
1781785692.988,171,final,0.0,0,0
1781785693.207,174,final,0.0,0,0
1781785693.402,177,final,0.0,0,0
1781785693.582,180,final,0.0,0,0
1781785693.791,183,final,0.0,0,0
1781785693.972,186,final,0.0,0,0
1781785694.158,189,final,0.0,0,0
1781785694.33,192,final,0.0,0,0
1781785694.512,195,final,0.0,0,0
1781785694.681,198,final,0.0,0,0
1781785694.855,201,final,0.0,0,0
1781785695.021,204,final,0.0,0,0
1781785695.191,207,final,0.0,0,0
1781785695.364,210,final,0.0,0,0
1781785695.546,213,final,0.0,0,0
1781785695.721,216,final,0.0,0,0
1781785695.89,219,final,0.0,0,0
1781785696.055,222,final,0.0,0,0
1781785696.233,225,final,0.0,0,0
1781785696.417,228,final,0.0,0,0
1781785696.617,231,final,0.0,0,0
1781785696.804,234,final,0.0,0,0
1781785697.009,237,final,0.0,0,0
1781785697.246,240,final,0.0,0,0
1781785697.522,243,final,0.0,0,0
1781785697.789,246,final,0.0,0,0
1781785697.996,249,final,0.0,0,0
1781785698.17,252,final,0.0,0,0
1781785698.334,255,final,0.0,0,0
1781785698.505,258,final,0.0,0,0
1781785698.683,261,final,0.0,0,0
1781785698.858,264,final,0.0,0,0
1781785699.039,267,final,0.0,0,0
1781785699.23,270,final,0.0,0,0
1781785699.414,273,final,0.0,0,0
1781785699.604,276,final,0.0,0,0
1781785699.797,279,final,0.0,0,0
1781785699.976,282,final,0.0,0,0
1781785700.187,285,final,0.0,0,0
1781785700.465,288,final,0.0,0,0
1781785700.664,291,final,0.0,0,0
1781785700.827,294,final,0.0,0,0
1781785700.993,297,final,0.0,0,0
1781785701.179,300,final,0.0,0,0
